DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
813_4_1,Closed Colles' fracture,Colles' fracture-closed
813_4_2,Other closed fractures of distal end of radius (alone),Fx distal radius NEC-cl
813_4_3,Closed fracture of distal end of ulna (alone),Fx distal ulna-closed
813_4_4,Closed fracture of lower end of radius with ulna,Fx low radius w ulna-cl
813_4_5,Torus fracture of radius (alone),Torus fx radius-cl/alone
813_4_6,Torus fracture of ulna (alone),Torus fx ulna-closed
813_4_7,Torus fracture of radius and ulna,Torus fx radius/ulna-clo
813_5_0,"Open fracture of lower end of forearm, unspecified",Fx lower forearm NOS-opn
813_5_1,Open Colles' fracture,Colles' fracture-open
813_5_2,Other open fractures of distal end of radius (alone),Fx distal radius NEC-opn
813_5_3,Open fracture of distal end of ulna (alone),Fx distal ulna-open
813_5_4,Open fracture of lower end of radius with ulna,Fx low radius w ulna-opn
813_8_0,Closed fracture of unspecified part of forearm,Fx forearm NOS-closed
813_8_1,Closed fracture of unspecified part of radius (alone),Fx radius NOS-closed
813_8_2,Closed fracture of unspecified part of ulna (alone),Fracture ulna NOS-closed
813_8_3,Closed fracture of unspecified part of radius with ulna,Fx radius w ulna NOS-cl
813_9_0,Open fracture of unspecified part of forearm,Fx forearm NOS-open
813_9_1,Open fracture of unspecified part of radius (alone),Fracture radius NOS-open
813_9_2,Open fracture of unspecified part of ulna (alone),Fracture ulna NOS-open
813_9_3,Open fracture of unspecified part of radius with ulna,Fx radius w ulna NOS-opn
814_0_0,"Closed fracture of carpal bone, unspecified",Fx carpal bone NOS-close
814_0_1,Closed fracture of navicular [scaphoid] bone of wrist,"Fx navicular, wrist-clos"
814_0_2,Closed fracture of lunate [semilunar] bone of wrist,"Fx lunate, wrist-closed"
814_0_3,Closed fracture of triquetral [cuneiform] bone of wrist,"Fx triquetral, wrist-cl"
814_0_4,Closed fracture of pisiform bone of wrist,Fx pisiform-closed
814_0_5,Closed fracture of trapezium bone [larger multangular] of wrist,Fx trapezium bone-closed
814_0_6,Closed fracture of trapezoid bone [smaller multangular] of wrist,Fx trapezoid bone-closed
814_0_7,Closed fracture of capitate bone [os magnum] of wrist,Fx capitate bone-closed
814_0_8,Closed fracture of hamate [unciform] bone of wrist,Fx hamate bone-closed
814_0_9,Closed fracture of other bone of wrist,Fx carpal bone NEC-close
814_1_0,"Open fracture of carpal bone, unspecified",Fx carpal bone NOS-open
814_1_1,Open fracture of navicular [scaphoid] bone of wrist,"Fx navicular, wrist-open"
814_1_2,Open fracture of lunate [semilunar] bone of wrist,"Fx lunate, wrist-open"
814_1_3,Open fracture of triquetral [cuneiform] bone of wrist,"Fx triquetral, wrist-opn"
814_1_4,Open fracture of pisiform bone of wrist,Fx pisiform-open
814_1_5,Open fracture of trapezium bone [larger multangular] of wrist,Fx trapezium bone-open
814_1_6,Open fracture of trapezoid bone [smaller multangular] of wrist,Fx trapezoid bone-open
814_1_7,Open fracture of capitate bone [os magnum] of wrist,Fx capitate bone-open
814_1_8,Open fracture of hamate [unciform] bone of wrist,Fx hamate bone-open
814_1_9,Open fracture of other bone of wrist,Fx carpal bone NEC-open
815_0_0,"Closed fracture of metacarpal bone(s), site unspecified",Fx metacarpal NOS-closed
815_0_1,Closed fracture of base of thumb [first] metacarpal,Fx 1st metacarp base-cl
815_0_2,Closed fracture of base of other metacarpal bone(s),Fx metacarp base NEC-cl
815_0_3,Closed fracture of shaft of metacarpal bone(s),Fx metacarpal shaft-clos
815_0_4,Closed fracture of neck of metacarpal bone(s),Fx metacarpal neck-close
815_0_9,Closed fracture of multiple sites of metacarpus,Mult fx metacarpus-close
815_1_0,"Open fracture of metacarpal bone(s), site unspecified",Fx metacarpal NOS-open
815_1_1,Open fracture of base of thumb [first] metacarpal,Fx 1st metacarp base-opn
815_1_2,Open fracture of base of other metacarpal bone(s),Fx metacarp base NEC-opn
815_1_3,Open fracture of shaft of metacarpal bone(s),Fx metacarpal shaft-open
815_1_4,Open fracture of neck of metacarpal bone(s),Fx metacarpal neck-open
815_1_9,Open fracture of multiple sites of metacarpus,Mult fx metacarpus-open
816_0_0,"Closed fracture of phalanx or phalanges of hand, unspecified","Fx phalanx, hand NOS-cl"
816_0_1,Closed fracture of middle or proximal phalanx or phalanges of hand,"Fx mid/prx phal, hand-cl"
816_0_2,Closed fracture of distal phalanx or phalanges of hand,"Fx dist phalanx, hand-cl"
816_0_3,Closed fracture of multiple sites of phalanx or phalanges of hand,"Fx mult phalan, hand-cl"
816_1_0,"Open fracture of phalanx or phalanges of hand, unspecified","Fx phalanx, hand NOS-opn"
816_1_1,Open fracture of middle or proximal phalanx or phalanges of hand,"Fx mid/prx phal, hand-op"
816_1_2,Open fracture of distal phalanx or phalanges of hand,"Fx distal phal, hand-opn"
816_1_3,Open fracture of multiple sites of phalanx or phalanges of hand,"Fx mult phalan, hand-opn"
817_0,Multiple closed fractures of hand bones,Multiple fx hand-closed
817_1,Multiple open fractures of hand bones,Multiple fx hand-open
818_0,Ill-defined closed fractures of upper limb,Fx arm mult/NOS-closed
818_1,Ill-defined open fractures of upper limb,Fx arm mult/NOS-open
819_0,"Multiple closed fractures involving both upper limbs, and upper limb with rib(s) and sternum",Fx arms w rib/sternum-cl
819_1,"Multiple open fractures involving both upper limbs, and upper limb with rib(s) and sternum",Fx arms w rib/stern-open
820_0_0,"Closed fracture of intracapsular section of neck of femur, unspecified",Fx femur intrcaps NOS-cl
820_0_1,Closed fracture of epiphysis (separation) (upper) of neck of femur,Fx up femur epiphy-clos
820_0_2,Closed fracture of midcervical section of neck of femur,"Fx femur, midcervic-clos"
820_0_3,Closed fracture of base of neck of femur,Fx base femoral nck-clos
820_0_9,Other closed transcervical fracture of neck of femur,Fx femur intrcaps NEC-cl
820_1_0,"Open fracture of intracapsular section of neck of femur, unspecified",Fx femur intrcap NOS-opn
820_1_1,Open fracture of epiphysis (separation) (upper) of neck of femur,Fx up femur epiphy-open
820_1_2,Open fracture of midcervical section of neck of femur,"Fx femur, midcervic-open"
820_1_3,Open fracture of base of neck of femur,Fx base femoral nck-open
820_1_9,Other open transcervical fracture of neck of femur,Fx femur intrcap NEC-opn
820_2_0,Closed fracture of trochanteric section of neck of femur,Trochanteric fx NOS-clos
820_2_1,Closed fracture of intertrochanteric section of neck of femur,Intertrochanteric fx-cl
820_2_2,Closed fracture of subtrochanteric section of neck of femur,Subtrochanteric fx-close
820_3_0,"Open fracture of trochanteric section of neck of femur, unspecified",Trochanteric fx NOS-open
820_3_1,Open fracture of intertrochanteric section of neck of femur,Intertrochanteric fx-opn
820_3_2,Open fracture of subtrochanteric section of neck of femur,Subtrochanteric fx-open
820_8,Closed fracture of unspecified part of neck of femur,Fx neck of femur NOS-cl
820_9,Open fracture of unspecified part of neck of femur,Fx neck of femur NOS-opn
821_0_0,Closed fracture of unspecified part of femur,Fx femur NOS-closed
821_0_1,Closed fracture of shaft of femur,Fx femur shaft-closed
821_1_0,Open fracture of unspecified part of femur,Fx femur NOS-open
821_1_1,Open fracture of shaft of femur,Fx femur shaft-open
821_2_0,"Closed fracture of lower end of femur, unspecified part",Fx low end femur NOS-cl
821_2_1,"Closed fracture of condyle, femoral",Fx femoral condyle-close
821_2_2,"Closed fracture of epiphysis, lower (separation) of femur",Fx low femur epiphy-clos
821_2_3,Closed supracondylar fracture of femur,Supracondyl fx femur-cl
821_2_9,Other closed fracture of lower end of femur,Fx low end femur NEC-cl
821_3_0,"Open fracture of lower end of femur, unspecified part",Fx low end femur NOS-opn
821_3_1,"Open fracture of condyle, femoral",Fx femoral condyle-open
821_3_2,Open fracture of epiphysis. Lower (separation) of femur,Fx low femur epiphy-open
821_3_3,Open supracondylar fracture of femur,Supracondyl fx femur-opn
821_3_9,Other open fracture of lower end of femur,Fx low end femur NEC-opn
822_0,Closed fracture of patella,Fracture patella-closed
822_1,Open fracture of patella,Fracture patella-open
823_0_0,Closed fracture of upper end of tibia alone,Fx upper end tibia-close
823_0_1,Closed fracture of upper end of fibula alone,Fx upper end fibula-clos
823_0_2,Closed fracture of upper end of fibula with tibia,Fx up tibia w fibula-cl
823_1_0,Open fracture of upper end of tibia alone,Fx upper end tibia-open
823_1_1,Open fracture of upper end of fibula alone,Fx upper end fibula-open
823_1_2,Open fracture of upper end of fibula with tibia,Fx up tibia w fibula-opn
823_2_0,Closed fracture of shaft of tibia alone,Fx shaft tibia-closed
823_2_1,Closed fracture of shaft of fibula alone,Fx shaft fibula-closed
823_2_2,Closed fracture of shaft of fibula with tibia,Fx shaft fib w tib-clos
823_3_0,Open fracture of shaft of tibia alone,Fx tibia shaft-open
823_3_1,Open fracture of shaft of fibula alone,Fx fibula shaft-open
823_3_2,Open fracture of shaft of fibula with tibia,Fx shaft tibia w fib-opn
823_4_0,"Torus fracture, tibia alone",Torus fracture of tibia
823_4_1,"Torus fracture, fibula alone",Torus fracture of fibula
823_4_2,"Torus fracture, fibula with tibia",Torus fx tibia/fibula
823_8_0,Closed fracture of unspecified part of tibia alone,Fx tibia NOS-closed
823_8_1,Closed fracture of unspecified part of fibula alone,Fx fibula NOS-closed
823_8_2,Closed fracture of unspecified part of fibula with tibia,Fx tibia w fibula NOS-cl
823_9_0,Open fracture of unspecified part of tibia alone,Fx tibia NOS-open
823_9_1,Open fracture of unspecified part of fibula alone,Fx fibula NOS-open
823_9_2,Open fracture of unspecified part of fibula with tibia,Fx tibia w fib NOS-open
824_0,"Fracture of medial malleolus, closed",Fx medial malleolus-clos
824_1,"Fracture of medial malleolus, open",Fx medial malleolus-open
824_2,"Fracture of lateral malleolus, closed",Fx lateral malleolus-cl
824_3,"Fracture of lateral malleolus, open",Fx lateral malleolus-opn
824_4,"Bimalleolar fracture, closed",Fx bimalleolar-closed
824_5,"Bimalleolar fracture, open",Fx bimalleolar-open
824_6,"Trimalleolar fracture, closed",Fx trimalleolar-closed
824_7,"Trimalleolar fracture, open",Fx trimalleolar-open
824_8,"Unspecified fracture of ankle, closed",Fx ankle NOS-closed
824_9,"Unspecified fracture of ankle, open",Fx ankle NOS-open
825_0,"Fracture of calcaneus, closed",Fracture calcaneus-close
825_1,"Fracture of calcaneus, open",Fracture calcaneus-open
825_2_0,Closed fracture of unspecified bone(s) of foot [except toes],Fx foot bone NOS-closed
825_2_1,Closed fracture of astragalus,Fx astragalus-closed
825_2_2,"Closed fracture of navicular [scaphoid], foot","Fx navicular, foot-clos"
825_2_3,Closed fracture of cuboid,Fx cuboid-closed
825_2_4,"Closed fracture of cuneiform, foot","Fx cuneiform, foot-clos"
825_2_5,Closed fracture of metatarsal bone(s),Fx metatarsal-closed
825_2_9,Other closed fracture of tarsal and metatarsal bones,Fx foot bone NEC-closed
825_3_0,Open fracture of unspecified bone(s) of foot [except toes],Fx foot bone NOS-open
825_3_1,Open fracture of astragalus,Fx astragalus-open
825_3_2,"Open fracture of navicular [scaphoid], foot","Fx navicular, foot-open"
825_3_3,Open fracture of cuboid,Fx cuboid-open
825_3_4,"Open fracture of cuneiform, foot","Fx cuneiform, foot-open"
825_3_5,Open fracture of metatarsal bone(s),Fx metatarsal-open
825_3_9,Other open fracture of tarsal and metatarsal bones,Fx foot bone NEC-open
826_0,Closed fracture of one or more phalanges of foot,"Fx phalanx, foot-closed"
826_1,Open fracture of one or more phalanges of foot,"Fx phalanx, foot-open"
827_0,"Other, multiple and ill-defined fractures of lower limb, closed",Fx lower limb NEC-closed
827_1,"Other, multiple and ill-defined fractures of lower limb, open",Fx lower limb NEC-open
828_0,"Closed multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum",Fx legs w arm/rib-closed
828_1,"Open multiple fractures involving both lower limbs, lower with upper limb, and lower limb(s) with rib(s) and sternum",Fx legs w arm/rib-open
829_0,"Fracture of unspecified bone, closed",Fracture NOS-closed
829_1,"Fracture of unspecified bone, open",Fracture NOS-open
830_0,Closed dislocation of jaw,Dislocation jaw-closed
830_1,Open dislocation of jaw,Dislocation jaw-open
831_0_0,"Closed dislocation of shoulder, unspecified",Disloc shoulder NOS-clos
831_0_1,Closed anterior dislocation of humerus,Ant disloc humerus-close
831_0_2,Closed posterior dislocation of humerus,Post disloc humerus-clos
831_0_3,Closed inferior dislocation of humerus,Infer disloc humerus-cl
831_0_4,Closed dislocation of acromioclavicular (joint),Disloc acromioclavic-cl
831_0_9,"Closed dislocation of shoulder, other",Disloc shoulder NEC-clos
831_1_0,"Open dislocation of shoulder, unspecified",Disloc shoulder NOS-open
831_1_1,Open anterior dislocation of humerus,Ant disloc humerus-open
831_1_2,Open posterior dislocation of humerus,Post disloc humerus-open
831_1_3,Open inferior dislocation of humerus,Infer disloc humerus-opn
831_1_4,Open dislocation of acromioclavicular (joint),Disloc acromioclavic-opn
831_1_9,"Open dislocation of shoulder, other",Disloc shoulder NEC-open
832_0_0,"Closed dislocation of elbow, unspecified",Dislocat elbow NOS-close
832_0_1,Closed anterior dislocation of elbow,Ant disloc elbow-closed
832_0_2,Closed posterior dislocation of elbow,Post disloc elbow-closed
832_0_3,Closed medial dislocation of elbow,Med disloc elbow-closed
832_0_4,Closed lateral dislocation of elbow,Lat disloc elbow-closed
832_0_9,"Closed dislocation of elbow, other",Dislocat elbow NEC-close
832_1_0,"Open dislocation of elbow, unspecified",Dislocat elbow NOS-open
832_1_1,Open anterior dislocation of elbow,Ant disloc elbow-open
832_1_2,Open posterior dislocation of elbow,Post disloc elbow-open
832_1_3,Open medial dislocation of elbow,Med disloc elbow-open
832_1_4,Open lateral dislocation of elbow,Lat dislocat elbow-open
832_1_9,"Open dislocation of elbow, other",Dislocat elbow NEC-open
832_2,Nursemaid's elbow,Nursemaid's elbow
833_0_0,"Closed dislocation of wrist, unspecified part",Disloc wrist NOS-closed
833_0_1,"Closed dislocation of radioulnar (joint), distal",Disloc dist radiouln-cl
833_0_2,Closed dislocation of radiocarpal (joint),Disloc radiocarpal-clos
833_0_3,Closed dislocation of midcarpal (joint),Disloca midcarpal-closed
833_0_4,Closed dislocation of carpometacarpal (joint),Disloc carpometacarp-cl
833_0_5,"Closed dislocation of metacarpal (bone), proximal end",Disloc metacarpal-closed
833_0_9,"Closed dislocation of wrist, other",Disloc wrist NEC-closed
833_1_0,"Open dislocation of wrist, unspecified part",Dislocat wrist NOS-open
833_1_1,"Open dislocation of radioulnar (joint), distal",Disloc dist radiouln-opn
833_1_2,Open dislocation of radiocarpal (joint),Disloc radiocarpal-open
833_1_3,Open dislocation of midcarpal (joint),Dislocat midcarpal-open
833_1_4,Open dislocation of carpometacarpal (joint),Disloc carpometacarp-opn
833_1_5,"Open dislocation of metacarpal (bone), proximal end",Dislocat metacarpal-open
833_1_9,"Open dislocation of wrist, other",Dislocat wrist NEC-open
834_0_0,"Closed dislocation of finger, unspecified part",Disl finger NOS-closed
834_0_1,Closed dislocation of metacarpophalangeal (joint),Disloc metacarpophaln-cl
834_0_2,"Closed dislocation of interphalangeal (joint), hand",Disl interphaln hand-cl
834_1_0,"Open dislocation of finger, unspecified part",Disloc finger NOS-open
834_1_1,Open dislocation of metacarpophalangeal (joint),Disl metacarpophalan-opn
834_1_2,"Open dislocation interphalangeal (joint), hand",Disl interphaln hand-opn
835_0_0,"Closed dislocation of hip, unspecified site",Dislocat hip NOS-closed
835_0_1,Closed posterior dislocation of hip,Posterior disloc hip-cl
835_0_2,Closed obturator dislocation of hip,Obturator disloc hip-cl
835_0_3,Other closed anterior dislocation of hip,Ant disloc hip NEC-clos
835_1_0,"Open dislocation of hip, unspecified site",Dislocation hip NOS-open
835_1_1,Open posterior dislocation of hip,Posterior disloc hip-opn
835_1_2,Open obturator dislocation of hip,Obturator disloc hip-opn
835_1_3,Other open anterior dislocation of hip,Ant disloc hip NEC-open
836_0,"Tear of medial cartilage or meniscus of knee, current",Tear med menisc knee-cur
836_1,"Tear of lateral cartilage or meniscus of knee, current",Tear lat menisc knee-cur
836_2,"Other tear of cartilage or meniscus of knee, current",Tear meniscus NEC-curren
836_3,"Dislocation of patella, closed",Dislocat patella-closed
836_4,"Dislocation of patella, open",Dislocation patella-open
836_5_0,"Dislocation of knee, unspecified, closed",Dislocat knee NOS-closed
836_5_1,"Anterior dislocation of tibia, proximal end, closed",Ant disloc prox tibia-cl
836_5_2,"Posterior dislocation of tibia, proximal end, closed",Post disl prox tibia-cl
836_5_3,"Medial dislocation of tibia, proximal end, closed",Med disloc prox tibia-cl
836_5_4,"Lateral dislocation of tibia, proximal end, closed",Lat disloc prox tibia-cl
836_5_9,"Other dislocation of knee, closed",Dislocat knee NEC-closed
836_6_0,"Dislocation of knee, unspecified, open",Dislocat knee NOS-open
836_6_1,"Anterior dislocation of tibia, proximal end, open",Ant disl prox tibia-open
836_6_2,"Posterior dislocation of tibia, proximal end, open",Post disl prox tibia-opn
836_6_3,"Medial dislocation of tibia, proximal end, open",Med disl prox tibia-open
836_6_4,"Lateral dislocation of tibia, proximal end, open",Lat disl prox tibia-open
836_6_9,"Other dislocation of knee, open",Dislocat knee NEC-open
837_0,Closed dislocation of ankle,Dislocation ankle-closed
837_1,Open dislocation of ankle,Dislocation ankle-open
838_0_0,"Closed dislocation of foot, unspecified",Dislocat foot NOS-closed
838_0_1,"Closed dislocation of tarsal (bone), joint unspecified",Disloc tarsal NOS-closed
838_0_2,Closed dislocation of midtarsal (joint),Disloc midtarsal-closed
838_0_3,Closed dislocation of tarsometatarsal (joint),Disloc tarsometatars-cl
838_0_4,"Closed dislocation of metatarsal (bone), joint unspecified",Disloc metatarsal NOS-cl
838_0_5,Closed dislocation of metatarsophalangeal (joint),Disl metatarsophalang-cl
838_0_6,"Closed dislocation of interphalangeal (joint), foot",Disl interphalan foot-cl
838_0_9,"Closed dislocation of foot, other",Dislocat foot NEC-closed
838_1_0,"Open dislocation of foot, unspecified",Dislocat foot NOS-open
838_1_1,"Open dislocation of tarsal (bone), joint unspecified",Disloc tarsal NOS-open
838_1_2,Open dislocation of midtarsal (joint),Disloc midtarsal-open
838_1_3,Open dislocation of tarsometatarsal (joint),Disl tarsometatarsal-opn
838_1_4,"Open dislocation of metatarsal (bone), joint unspecified",Disl metatarsal NOS-open
838_1_5,Open dislocation of metatarsophalangeal (joint),Disloc metatarsophal-opn
838_1_6,"Open dislocation of interphalangeal (joint), foot",Dis interphalan foot-opn
838_1_9,"Open dislocation of foot, other",Dislocat foot NEC-open
839_0_0,"Closed dislocation, cervical vertebra, unspecified",Disloc cerv vert NOS-cl
839_0_1,"Closed dislocation, first cervical vertebra",Disloc 1st cerv vert-cl
839_0_2,"Closed dislocation, second cervical vertebra",Disloc 2nd cerv vert-cl
839_0_3,"Closed dislocation, third cervical vertebra",Disloc 3rd cerv vert-cl
839_0_4,"Closed dislocation, fourth cervical vertebra",Disloc 4th cerv vert-cl
839_0_5,"Closed dislocation, fifth cervical vertebra",Disloc 5th cerv vert-cl
839_0_6,"Closed dislocation, sixth cervical vertebra",Disloc 6th cerv vert-cl
839_0_7,"Closed dislocation, seventh cervical vertebra",Disloc 7th cerv vert-cl
839_0_8,"Closed dislocation, multiple cervical vertebrae",Disloc mult cerv vert-cl
839_1_0,"Open dislocation, cervical vertebra, unspecified",Disloc cerv vert NOS-opn
839_1_1,"Open dislocation, first cervical vertebra",Disloc lst cerv vert-opn
839_1_2,"Open dislocation, second cervical vertebra",Disloc 2nd cerv vert-opn
839_1_3,"Open dislocation, third cervical vertebra",Disloc 3rd cerv vert-opn
839_1_4,"Open dislocation, fourth cervical vertebra",Disloc 4th cerv vert-opn
839_1_5,"Open dislocation, fifth cervical vertebra",Disloc 5th cerv vert-opn
839_1_6,"Open dislocation, sixth cervical vertebra",Disloc 6th cerv vert-opn
839_1_7,"Open dislocation, seventh cervical vertebra",Disloc 7th cerv vert-opn
839_1_8,"Open dislocation, multiple cervical vertebrae",Disloc mlt cerv vert-opn
839_2_0,"Closed dislocation, lumbar vertebra",Dislocat lumbar vert-cl
839_2_1,"Closed dislocation, thoracic vertebra",Disloc thoracic vert-cl
839_3_0,"Open dislocation, lumbar vertebra",Dislocat lumbar vert-opn
839_3_1,"Open dislocation, thoracic vertebra",Disloc thoracic vert-opn
839_4_0,"Closed dislocation, vertebra, unspecified site",Dislocat vertebra NOS-cl
839_4_1,"Closed dislocation, coccyx",Dislocat coccyx-closed
839_4_2,"Closed dislocation, sacrum",Dislocat sacrum-closed
839_4_9,"Closed dislocation, vertebra, other",Dislocat vertebra NEC-cl
839_5_0,"Open dislocation, vertebra, unspecified site",Disloc vertebra NOS-open
839_5_1,"Open dislocation, coccyx",Dislocat coccyx-open
839_5_2,"Open dislocation, sacrum",Dislocat sacrum-open
839_5_9,"Open dislocation, vertebra,other",Disloc vertebra NEC-open
839_6_1,"Closed dislocation, sternum",Dislocat sternum-closed
839_6_9,"Closed dislocation, other location",Dislocat site NEC-closed
839_7_1,"Open dislocation, sternum",Dislocation sternum-open
839_7_9,"Open dislocation, other location",Dislocat site NEC-open
839_8,"Closed dislocation, multiple and ill-defined sites",Dislocation NEC-closed
839_9,"Open dislocation, multiple and ill-defined sites",Dislocation NEC-open
840_0,Acromioclavicular (joint) (ligament) sprain,Sprain acromioclavicular
840_1,Coracoclavicular (ligament) sprain,Sprain coracoclavicular
840_2,Coracohumeral (ligament) sprain,Sprain coracohumeral
840_3,Infraspinatus (muscle) (tendon) sprain,Sprain infraspinatus
840_4,Rotator cuff (capsule) sprain,Sprain rotator cuff
840_5,Subscapularis (muscle) sprain,Sprain subscapularis
840_6,Supraspinatus (muscle) (tendon) sprain,Sprain supraspinatus
840_7,Superior glenoid labrum lesion,Sup glenoid labrm lesion
840_8,Sprains and strains of other specified sites of shoulder and upper arm,Sprain shoulder/arm NEC
840_9,Sprains and strains of unspecified site of shoulder and upper arm,Sprain shoulder/arm NOS
841_0,Radial collateral ligament sprain,Sprain radial collat lig
841_1,Ulnar collateral ligament sprain,Sprain ulnar collat lig
841_2,Radiohumeral (joint) sprain,Sprain radiohumeral
841_3,Ulnohumeral (joint) sprain,Sprain ulnohumeral
841_8,Sprains and strains of other specified sites of elbow and forearm,Sprain elbow/forearm NEC
841_9,Sprains and strains of unspecified site of elbow and forearm,Sprain elbow/forearm NOS
842_0_0,"Sprain of wrist, unspecified site",Sprain of wrist NOS
842_0_1,Sprain of carpal (joint) of wrist,Sprain carpal
842_0_2,Sprain of radiocarpal (joint) (ligament) of wrist,Sprain radiocarpal
842_0_9,Other sprains and strains of wrist,Sprain of wrist NEC
842_1_0,"Sprain of hand, unspecified site",Sprain of hand NOS
842_1_1,Sprain of carpometacarpal (joint) of hand,Sprain carpometacarpal
842_1_2,Sprain of metacarpophalangeal (joint) of hand,Sprain metacarpophalang
842_1_3,Sprain of interphalangeal (joint) of hand,Sprain interphalangeal
842_1_9,Other sprains and strains of hand,Sprain of hand NEC
843_0,Iliofemoral (ligament) sprain,Sprain iliofemoral
843_1,Ischiocapsular (ligament) sprain,Sprain ischiocapsular
843_8,Sprains and strains of other specified sites of hip and thigh,Sprain hip & thigh NEC
843_9,Sprains and strains of unspecified site of hip and thigh,Sprain hip & thigh NOS
844_0,Sprain of lateral collateral ligament of knee,Sprain lateral coll lig
844_1,Sprain of medial collateral ligament of knee,Sprain medial collat lig
844_2,Sprain of cruciate ligament of knee,Sprain cruciate lig knee
844_3,"Sprain of tibiofibular (joint) (ligament) superior, of knee",Sprain super tibiofibula
844_8,Sprains and strains of other specified sites of knee and leg,Sprain of knee & leg NEC
844_9,Sprains and strains of unspecified site of knee and leg,Sprain of knee & leg NOS
845_0_0,"Sprain of ankle, unspecified site",Sprain of ankle NOS
845_0_1,"Sprain of deltoid (ligament), ankle",Sprain of ankle deltoid
845_0_2,Sprain of calcaneofibular (ligament) of ankle,Sprain calcaneofibular
845_0_3,"Sprain of tibiofibular (ligament), distal of ankle",Sprain distal tibiofibul
845_0_9,Other sprains and strains of ankle,Sprain of ankle NEC
845_1_0,"Sprain of foot, unspecified site",Sprain of foot NOS
845_1_1,Sprain of tarsometatarsal (joint) (ligament) of foot,Sprain tarsometatarsal
845_1_2,Sprain of metatarsophalangeal (joint) of foot,Sprain metatarsophalang
845_1_3,"Sprain of interphalangeal (joint), toe",Sprain interphalang toe
845_1_9,Other sprain of foot,Sprain of foot NEC
846_0,Sprain of lumbosacral (joint) (ligament),Sprain lumbosacral
846_1,Sprain of sacroiliac ligament,Sprain sacroiliac
846_2,Sprain of sacrospinatus (ligament),Sprain sacrospinatus
846_3,Sprain of sacrotuberous (ligament),Sprain sacrotuberous
846_8,Sprain of other specified sites of sacroiliac region,Sprain sacroiliac NEC
846_9,Sprain of unspecified site of sacroiliac region,Sprain sacroiliac NOS
847_0,Sprain of neck,Sprain of neck
847_1,Sprain of thoracic,Sprain thoracic region
847_2,Sprain of lumbar,Sprain lumbar region
847_3,Sprain of sacrum,Sprain of sacrum
847_4,Sprain of coccyx,Sprain of coccyx
847_9,Sprain of unspecified site of back,Sprain of back NOS
848_0,Sprain of septal cartilage of nose,Sprain of nasal septum
848_1,Sprain of jaw,Sprain of jaw
848_2,Sprain of thyroid region,Sprain of thyroid region
848_3,Sprain of ribs,Sprain of ribs
848_4_0,"Sprain of sternum, unspecified site",Sprain of sternum NOS
848_4_1,Sprain of sternoclavicular (joint) (ligament),Sprain sternoclavicular
848_4_2,Sprain of chondrosternal (joint),Sprain chondrosternal
848_4_9,"Sprain of sternum, other",Sprain of sternum NEC
848_5,Sprain of pelvic,Sprain of pelvis
848_8,Other specified sites of sprains and strains,Sprain NEC
848_9,Unspecified site of sprain and strain,Sprain NOS
850_0,Concussion with no loss of consciousness,Concussion w/o coma
850_1_1,"Concussion, with loss of consciousness of 30 minutes or less",Concus-brief coma <31 mn
850_1_2,"Concussion, with loss of consciousness from 31 to 59 minutes",Concus-brf coma 31-59 mn
850_2,Concussion with moderate loss of consciousness,Concussion-moderate coma
850_3,Concussion with prolonged loss of consciousness and return to pre-existing conscious level,Concussion-prolong coma
850_4,"Concussion with prolonged loss of consciousness, without return to pre-existing conscious level",Concussion-deep coma
850_5,Concussion with loss of consciousness of unspecified duration,Concussion w coma NOS
850_9,"Concussion, unspecified",Concussion NOS
851_0_0,"Cortex (cerebral) contusion without mention of open intracranial wound, unspecified state of consciousness",Cerebral cortx contusion
851_0_1,"Cortex (cerebral) contusion without mention of open intracranial wound, with no loss of consciousness",Cortex contusion-no coma
851_0_2,"Cortex (cerebral) contusion without mention of open intracranial wound, with brief [less than one hour] loss of consciousness",Cortex contus-brief coma
851_0_3,"Cortex (cerebral) contusion without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",Cortex contus-mod coma
851_0_4,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Cortx contus-prolng coma
851_0_5,"Cortex (cerebral) contusion without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level",Cortex contus-deep coma
851_0_6,"Cortex (cerebral) contusion without mention of open intracranial wound, with loss of consciousness of unspecified duration",Cortex contus-coma NOS
851_0_9,"Cortex (cerebral) contusion without mention of open intracranial wound, with concussion, unspecified",Cortex contus-concus NOS
851_1_0,"Cortex (cerebral) contusion with open intracranial wound, unspecified state of consciousness",Cortex contusion/opn wnd
851_1_1,"Cortex (cerebral) contusion with open intracranial wound, with no loss of consciousness",Opn cortx contus-no coma
851_1_2,"Cortex (cerebral) contusion with open intracranial wound, with brief [less than one hour] loss of consciousness",Opn cort contus-brf coma
851_1_3,"Cortex (cerebral) contusion with open intracranial wound, with moderate [1-24 hours] loss of consciousness",Opn cort contus-mod coma
851_1_4,"Cortex (cerebral) contusion with open intracranial wound, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level",Opn cort contu-prol coma
